Uploaded patch set 1.,0
"Patch Set 1:

This patch is required by the next fix (in Related Changes) that fixes the performance issue on backup-restore.",1
"Patch Set 1:

Build failed. For 3rd party CI contact info: https://wiki.openstack.org/wiki/ThirdPartySystems

- cinder-test-iscsi http://218.29.111.78:9000/02/537002/1/check/cinder-test-iscsi/f493c10 : FAILURE in 48m 32s",0
"Patch Set 1: Code-Review+2

I don't think this one is necessary to backport, but meh.",0
Patch Set 1: Code-Review+1,0
"Patch Set 1:

Build failed.  For information on how to proceed, see https://wiki.openstack.org/wiki/GerritJenkinsGit#Test_Failures. For 3rd party ci contact info: https://wiki.openstack.org/wiki/ThirdPartySystems/Infortrend_Storage_CI

- infortrend-cinder-volume-iscsi http://openstack.infortrend.com/02/537002/1/check/infortrend-cinder-volume-iscsi/a5cb7c3 : FAILURE in 43m 10s
- infortrend-cinder-volume-fc http://openstack.infortrend.com/02/537002/1/check/infortrend-cinder-volume-fc/36ac31a : FAILURE in 50m 06s",0
Patch Set 1: Workflow+1 Code-Review+2,0
"Patch Set 1:

recheck",0
"Patch Set 1:

Build failed (check pipeline).  To recheck use 'recheck'.

- gate-cinder-dsvm-tempest-smoke-zm-cinder-current-cinder-zonemanager-node http://192.133.156.18/02/537002/1/check/gate-cinder-dsvm-tempest-smoke-zm-cinder-current-cinder-zonemanager-node/3f6d578/ : FAILURE in 12m 10s",0
"Patch Set 1:

recheck",0
"Patch Set 1:

Build failed (check pipeline).  To recheck use 'recheck'.

- gate-cinder-dsvm-tempest-smoke-zm-cinder-current-cinder-zonemanager-node http://192.133.156.18/02/537002/1/check/gate-cinder-dsvm-tempest-smoke-zm-cinder-current-cinder-zonemanager-node/0a2ae31/ : FAILURE in 12m 46s",0
"Patch Set 1:

Build failed. To recheck use 'lenovo-ci: recheck'.  For 3rd party ci contact info: https://wiki.openstack.org/wiki/ThirdPartySystems/Lenovo_Storage_CI

- lenovo-fc http://os-logs.tristero.net/02/537002/1/check/lenovo-fc/a7829b4 : EXCEPTION
- lenovo-iscsi http://os-logs.tristero.net/02/537002/1/check/lenovo-iscsi/cd8a9b9 : EXCEPTION",0
"Patch Set 1: Looks good to me, but someone else must approve

",0
Uploaded patch set 2.,0
"Patch Set 2:

Just included fixes for PEP8.",0
"Patch Set 2: Looks good to me, but someone else must approve

",0
Uploaded patch set 3.,0
"Patch Set 3: Looks good to me, but someone else must approve

",0
"Patch Set 3: I would prefer that you didn't submit this

-1 due to warnings noted in commit message.

(this patch would fail spectacularly in jenkins anyway)",0
Uploaded patch set 4.,0
Uploaded patch set 5.,0
"Patch Set 5:

This is pretty much ready, except a single EC2 test failure that I don't understand. I'll take a second look at it on Tuesday, but wanted to share this code in the meantime.",0
